,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,84,128,Po,0,,0.0,,,0+,1.0,294.3,,8.0,ns,2.943e-07,8e-10,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
1,84,128,Po,1,,727.33,0.009,,2+,1.0,14.2,,18.0,ps,1.42e-11,1.8e-12,IT,99.967,,A,0.033,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
2,84,128,Po,2,,1132.51,0.1,,4+,1.0,,,,,,,IT,95.5,,A,0.5,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
3,84,128,Po,3,,1249.0,10.0,,,,,,,,,,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
4,84,128,Po,4,,1355.49,0.14,,6+,1.0,0.76,,21.0,ns,7.6e-10,2.1e-10,IT,97.0,1.0,A,3.0,1.0,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
5,84,128,Po,5,,1476.39,0.17,,8+,1.0,14.6,,3.0,ns,1.46e-08,3e-10,IT,97.0,1.0,A,3.0,1.0,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
6,84,128,Po,6,,1512.7,0.08,,2+,2.0,0.49,,6.0,ps,4.9e-13,6e-14,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
7,84,128,Po,7,,1536.85,0.1,,3,1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
8,84,128,Po,8,,1547.0,10.0,,,,,,,,,,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
9,84,128,Po,9,,1578.0,10.0,,,,,,,,,,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
10,84,128,Po,10,,1612.0,10.0,,,,,,,,,,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
11,84,128,Po,11,,1620.739,0.01,,1+,1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
12,84,128,Po,12,,1657.0,10.0,,,,,,,,,,A,100.0,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
13,84,128,Po,13,,1679.452,0.014,,2+,3.0,0.54,,6.0,ps,5.4e-13,6e-14,IT,99.7,,A,0.3,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
14,84,128,Po,14,,1744.9,0.5,,(4-),1.0,0.33,,10.0,ps,3.3e-13,1e-13,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
15,84,128,Po,15,,1752.86,0.19,,(8-),1.0,0.33,,14.0,ps,3.3e-13,1.4e-13,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
16,84,128,Po,16,,1788.07,0.17,,(6-),1.0,0.31,,6.0,ps,3.1e-13,6e-14,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
17,84,128,Po,17,,1800.91,0.19,,0+,2.0,,,,,,,IT,74.0,,A,26.0,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
18,84,128,Po,18,,1805.95,0.1,,2+,4.0,,,,,,,IT,98.4,,A,1.6,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
19,84,128,Po,19,,1833.89,0.19,,10+,1.0,0.55,,14.0,ns,5.5e-10,1.4e-10,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
20,84,128,Po,20,,1945.83,0.14,,(4),1.0,0.33,,10.0,ps,3.3e-13,1e-13,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
21,84,128,Po,21,,1987.59,0.19,,(8),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
22,84,128,Po,22,,2002.6,0.3,,4(-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
23,84,128,Po,23,,2016.99,0.17,,(6),1.0,0.333,,28.0,ps,3.33e-13,2.8e-14,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
24,84,128,Po,24,,2085.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
25,84,128,Po,25,,2101.4,0.5,,5,1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
26,84,128,Po,26,,2103.45,0.23,,5,2.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
27,84,128,Po,27,,2170.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
28,84,128,Po,28,,2228.69,0.17,,7,1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
29,84,128,Po,29,,2237.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
30,84,128,Po,30,,2281.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
31,84,128,Po,31,,2295.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
32,84,128,Po,32,,2336.7,0.4,,9,1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
33,84,128,Po,33,,2363.4,0.4,,(6),2.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
34,84,128,Po,34,,2375.6,0.3,,7,2.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
35,84,128,Po,35,,2411.26,0.22,,(11-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
36,84,128,Po,36,,2421.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
37,84,128,Po,37,,2433.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
38,84,128,Po,38,,2467.2,2.0,,10,1.0,0.42,,11.0,ps,4.2e-13,1.1e-13,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
39,84,128,Po,39,,2471.44,0.21,,(9-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
40,84,128,Po,40,,2526.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
41,84,128,Po,41,,2583.26,0.24,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
42,84,128,Po,42,,2604.5,0.6,,5,3.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
43,84,128,Po,43,,2605.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
44,84,128,Po,44,,2667.3,2.0,,5,4.0,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
45,84,128,Po,45,,2702.23,0.22,,(12+),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
46,84,128,Po,46,,2771.72,0.23,,(13-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
47,84,128,Po,47,,2782.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
48,84,128,Po,48,,2838.9,1.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
49,84,128,Po,49,,2860.7,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
50,84,128,Po,50,,2863.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
51,84,128,Po,51,,2865.8,2.0,,7,3.0,0.38,LE,,ps,3.8e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
52,84,128,Po,52,,2869.1,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
53,84,128,Po,53,,2877.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
54,84,128,Po,54,,2881.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
55,84,128,Po,55,,2882.9,2.0,,,,0.38,LE,,ps,3.8e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
56,84,128,Po,56,,2885.4,0.3,,(14+),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
57,84,128,Po,57,,2930.0,10.0,,(18+),1.0,45.1,,6.0,s,45.1,0.6,A,99.93,0.02,IT,0.07,0.02,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
58,84,128,Po,58,,2942.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
59,84,128,Po,59,,2975.5,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
60,84,128,Po,60,,3006.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
61,84,128,Po,61,,3012.4,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
62,84,128,Po,62,,3024.5,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
63,84,128,Po,63,,3037.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
64,84,128,Po,64,,3112.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
65,84,128,Po,65,,3156.0,2.0,,7,4.0,0.08,,4.0,ps,8e-14,4e-14,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
66,84,128,Po,66,,3176.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
67,84,128,Po,67,,3195.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
68,84,128,Po,68,,3204.9,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
69,84,128,Po,69,,3211.6,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
